goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertUnderCapacity/50000-10       	11878257	        99.75 ns/op	  11878257 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11778374	       100.4 ns/op	  11778374 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11738485	        97.99 ns/op	  11738485 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11926605	        97.56 ns/op	  11926605 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12122905	        97.63 ns/op	  12122905 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12121364	        99.36 ns/op	  12121364 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12092101	        97.50 ns/op	  12092101 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11952672	        97.89 ns/op	  11952672 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12034156	        98.75 ns/op	  12034156 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12003315	        98.61 ns/op	  12003315 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11841384	        98.39 ns/op	  11841384 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12043234	        97.89 ns/op	  12043234 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11986898	        97.72 ns/op	  11986898 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11969830	        97.34 ns/op	  11969830 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11917204	        97.97 ns/op	  11917204 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12173836	        97.58 ns/op	  12173836 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11381378	        98.04 ns/op	  11381378 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12086042	        97.48 ns/op	  12086042 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8617568	       128.5 ns/op	   8617568 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 7982829	       129.8 ns/op	   7982829 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8489121	       127.6 ns/op	   8489121 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8036005	       129.7 ns/op	   8036005 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8074826	       131.3 ns/op	   8074826 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8348836	       129.5 ns/op	   8348836 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8843364	       128.9 ns/op	   8843364 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8336079	       128.4 ns/op	   8336079 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8354718	       130.2 ns/op	   8354718 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8284632	       130.1 ns/op	   8284632 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 7936603	       127.7 ns/op	   7936603 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8541619	       129.2 ns/op	   8541619 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8265837	       130.6 ns/op	   8265837 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8985386	       130.0 ns/op	   8985386 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8344350	       129.4 ns/op	   8344350 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8588190	       128.7 ns/op	   8588190 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8416327	       128.2 ns/op	   8416327 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8784936	       131.2 ns/op	   8784936 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8260576	       129.9 ns/op	   8260576 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8747313	       128.4 ns/op	   8747313 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6414890	       188.7 ns/op	   6414890 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6436790	       190.0 ns/op	   6436790 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6442293	       192.0 ns/op	   6442293 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6118086	       186.3 ns/op	   6118086 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6337588	       189.4 ns/op	   6337588 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6367922	       186.5 ns/op	   6367922 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6436176	       187.7 ns/op	   6436176 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6377547	       191.0 ns/op	   6377547 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6330388	       190.6 ns/op	   6330388 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6426760	       189.0 ns/op	   6426760 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6300848	       187.6 ns/op	   6300848 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6550778	       190.0 ns/op	   6550778 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6326499	       187.9 ns/op	   6326499 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6224205	       185.0 ns/op	   6224205 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6355084	       186.1 ns/op	   6355084 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6391356	       185.6 ns/op	   6391356 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6241394	       192.0 ns/op	   6241394 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6326640	       184.0 ns/op	   6326640 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6428845	       187.3 ns/op	   6428845 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 6368482	       190.5 ns/op	   6368482 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6612926	       182.4 ns/op	   6612926 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6481116	       182.0 ns/op	   6481116 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6565818	       183.2 ns/op	   6565818 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6561556	       183.5 ns/op	   6561556 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6539604	       184.7 ns/op	   6539604 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6489650	       183.5 ns/op	   6489650 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6569383	       183.5 ns/op	   6569383 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6521102	       183.6 ns/op	   6521102 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6508443	       183.3 ns/op	   6508443 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6591378	       183.9 ns/op	   6591378 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6533716	       184.1 ns/op	   6533716 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6529292	       181.6 ns/op	   6529292 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6519427	       182.7 ns/op	   6519427 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6570805	       181.9 ns/op	   6570805 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6582631	       182.6 ns/op	   6582631 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
