goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertUnderCapacity/50000-10       	12197900	        97.88 ns/op	  12197900 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12125697	        98.94 ns/op	  12125697 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12002010	        99.15 ns/op	  12002010 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11785700	        98.08 ns/op	  11785700 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12187983	        99.31 ns/op	  12187983 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12156488	       101.4 ns/op	  12156488 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12085306	       100.8 ns/op	  12085306 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11810461	        99.01 ns/op	  11810461 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12013033	        98.73 ns/op	  12013033 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12020895	        99.59 ns/op	  12020895 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11998364	        98.76 ns/op	  11998364 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12154005	        98.30 ns/op	  12154005 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11945052	        99.31 ns/op	  11945052 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11940768	       100.3 ns/op	  11940768 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	10796390	       106.1 ns/op	  10796390 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11567551	       102.8 ns/op	  11567551 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	11902546	       105.7 ns/op	  11902546 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/50000-10       	12017550	        98.10 ns/op	  12017550 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8334992	       140.4 ns/op	   8334992 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8362018	       129.1 ns/op	   8362018 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 7994772	       143.0 ns/op	   7994772 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 9238218	       129.6 ns/op	   9238218 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8324930	       129.1 ns/op	   8324930 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8086405	       144.4 ns/op	   8086405 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8268982	       147.4 ns/op	   8268982 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8590214	       129.1 ns/op	   8590214 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8908063	       129.2 ns/op	   8908063 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
